FECHA,PROVINCIA TRIBUTARIA,OTROS_NO_INFORMADO,AGRICULTURA_NO_INFORMADO,INDUSTRIA_NO_INFORMADO,CONSTRUCCION_NO_INFORMADO,SERVICIOS_NO_INFORMADO,TOTAL_NO_INFORMADO,OTROS_MUNICIPAL,AGRICULTURA_MUNICIPAL,INDUSTRIA_MUNICIPAL,CONSTRUCCION_MUNICIPAL,SERVICIOS_MUNICIPAL,TOTAL_MUNICIPAL,OTROS_NACIONAL,AGRICULTURA_NACIONAL,INDUSTRIA_NACIONAL,CONSTRUCCION_NACIONAL,SERVICIOS_NACIONAL,TOTAL_NACIONAL,OTROS_PROVINCIAL,AGRICULTURA_PROVINCIAL,INDUSTRIA_PROVINCIAL,CONSTRUCCION_PROVINCIAL,SERVICIOS_PROVINCIAL,TOTAL_PROVINCIAL
1999,"SALAMANCA",           .,           .,           .,           .,           .,           .,        1014,         559,        2295,        5214,       23528,       32610,           5,          54,           .,           3,        2284,        2346,           1,          82,           5,         222,         848,        1158

1999,"SEGOVIA",           .,           .,           .,           .,           .,           .,         465,        1653,         888,        2593,       10906,       16505,           1,          35,           .,           3,        1078,        1117,           .,          21,           2,          31,         351,         405

1999,"SORIA",           .,           .,           .,           .,           .,           .,         419,         656,         675,        1577,        6311,        9638,           .,          77,           .,           2,         778,         857,           .,          39,           2,          56,         143,         240

1999,"VALLADOLID",           .,           .,           .,           .,           .,           .,        1322,         885,        2268,        4866,       30062,       39403,          17,          93,           1,          14,        2788,        2913,           1,          47,           3,         120,         790,         961

1999,"ZAMORA",           .,           .,           .,           .,           .,           .,         466,         402,        1188,        2958,       12907,       17921,           1,          58,           .,           2,        1154,        1215,           .,          81,           1,          87,         475,         644

